policy,env,block,grade_true,volume_allocated
maxent@lognormal-poisson,0,10,0.3218129271352258,0.0
maxent@lognormal-poisson,0,11,0.7474163509131219,0.0
d-optimality@lognormal-poisson,0,0,0.7229733006236139,24.0
d-optimality@lognormal-poisson,0,1,0.07863729638550693,12.0
d-optimality@lognormal-poisson,0,2,1.9752137622100945,28.0
d-optimality@lognormal-poisson,0,3,0.1337629825382978,19.0
d-optimality@lognormal-poisson,0,4,0.03220558901383833,8.0
d-optimality@lognormal-poisson,0,5,0.16751606561218754,24.0
d-optimality@lognormal-poisson,0,6,0.017263973459326534,5.0
d-optimality@lognormal-poisson,0,7,0.3544474935558451,25.0
d-optimality@lognormal-poisson,0,8,1.0301808666299073,26.0
d-optimality@lognormal-poisson,0,9,2.236929144052396,28.0
d-optimality@lognormal-poisson,0,10,0.3218129271352258,16.0
d-optimality@lognormal-poisson,0,11,0.7474163509131219,25.0
neyman@lognormal-poisson,0,0,0.7229733006236139,13.0
neyman@lognormal-poisson,0,1,0.07863729638550693,7.0
neyman@lognormal-poisson,0,2,1.9752137622100945,48.0
neyman@lognormal-poisson,0,3,0.1337629825382978,14.0
neyman@lognormal-poisson,0,4,0.03220558901383833,5.0
neyman@lognormal-poisson,0,5,0.16751606561218754,18.0
neyman@lognormal-poisson,0,6,0.017263973459326534,7.0
neyman@lognormal-poisson,0,7,0.3544474935558451,19.0
neyman@lognormal-poisson,0,8,1.0301808666299073,27.0
neyman@lognormal-poisson,0,9,2.236929144052396,40.0
neyman@lognormal-poisson,0,10,0.3218129271352258,14.0
neyman@lognormal-poisson,0,11,0.7474163509131219,28.0
predictive-variance@lognormal-poisson,0,0,0.7229733006236139,40.0
predictive-variance@lognormal-poisson,0,1,0.07863729638550693,0.0
predictive-variance@lognormal-poisson,0,2,1.9752137622100945,40.0
predictive-variance@lognormal-poisson,0,3,0.1337629825382978,40.0
predictive-variance@lognormal-poisson,0,4,0.03220558901383833,0.0
predictive-variance@lognormal-poisson,0,5,0.16751606561218754,40.0
predictive-variance@lognormal-poisson,0,6,0.017263973459326534,0.0
predictive-variance@lognormal-poisson,0,7,0.3544474935558451,0.0
predictive-variance@lognormal-poisson,0,8,1.0301808666299073,40.0
predictive-variance@lognormal-poisson,0,9,2.236929144052396,40.0
predictive-variance@lognormal-poisson,0,10,0.3218129271352258,0.0
predictive-variance@lognormal-poisson,0,11,0.7474163509131219,0.0
epistemic@lognormal-poisson,0,0,0.7229733006236139,40.0
epistemic@lognormal-poisson,0,1,0.07863729638550693,0.0
epistemic@lognormal-poisson,0,2,1.9752137622100945,40.0
epistemic@lognormal-poisson,0,3,0.1337629825382978,40.0
epistemic@lognormal-poisson,0,4,0.03220558901383833,0.0
epistemic@lognormal-poisson,0,5,0.16751606561218754,40.0
epistemic@lognormal-poisson,0,6,0.017263973459326534,0.0
epistemic@lognormal-poisson,0,7,0.3544474935558451,0.0
epistemic@lognormal-poisson,0,8,1.0301808666299073,40.0
epistemic@lognormal-poisson,0,9,2.236929144052396,40.0
epistemic@lognormal-poisson,0,10,0.3218129271352258,0.0
epistemic@lognormal-poisson,0,11,0.7474163509131219,0.0
thompson@lognormal-poisson,0,0,0.7229733006236139,0.0
thompson@lognormal-poisson,0,1,0.07863729638550693,0.0
thompson@lognormal-poisson,0,2,1.9752137622100945,200.0
thompson@lognormal-poisson,0,3,0.1337629825382978,40.0
thompson@lognormal-poisson,0,4,0.03220558901383833,0.0
thompson@lognormal-poisson,0,5,0.16751606561218754,0.0
thompson@lognormal-poisson,0,6,0.017263973459326534,0.0
thompson@lognormal-poisson,0,7,0.3544474935558451,0.0
thompson@lognormal-poisson,0,8,1.0301808666299073,0.0
thompson@lognormal-poisson,0,9,2.236929144052396,0.0
thompson@lognormal-poisson,0,10,0.3218129271352258,0.0
thompson@lognormal-poisson,0,11,0.7474163509131219,0.0
eig,1,0,0.07757510621351019,15.0
eig,1,1,0.050517549471426566,23.0
eig,1,2,0.11575317416134848,1.0
eig,1,3,0.0506582264746632,12.0
eig,1,4,0.8598327809744648,36.0
eig,1,5,0.035487709384518146,5.0
