policy,env,spent,rounds,decide_seconds,nlpd,grade_rmse,topm_regret
predictive-variance@gamma-poisson,1,60.0,2,0.00012077100109308958,1.2306946405851393,0.23291709979104078,0.038736330887397814
predictive-variance@gamma-poisson,1,120.0,3,0.00014052499318495393,1.1546649054162839,0.23661137691202666,0.038736330887397814
predictive-variance@gamma-poisson,1,180.0,5,0.00017623597523197532,1.0978018814040365,0.11669604744453442,0.04813904470120353
predictive-variance@gamma-poisson,1,240.0,6,0.00019590699230320752,1.085958209500325,0.11652202958896783,0.04813904470120353
epistemic@gamma-poisson,1,30.0,1,8.532899664714932e-05,1.2990803707663583,0.3068037396433648,0.038736330887397814
epistemic@gamma-poisson,1,60.0,2,0.00010405000648461282,1.2306946405851393,0.23291709979104078,0.038736330887397814
epistemic@gamma-poisson,1,120.0,3,0.0001226940075866878,1.1546649054162839,0.23661137691202666,0.038736330887397814
epistemic@gamma-poisson,1,180.0,5,0.0001554420159664005,1.0978018814040365,0.11669604744453442,0.04813904470120353
epistemic@gamma-poisson,1,240.0,6,0.00017321101040579379,1.085958209500325,0.11652202958896783,0.04813904470120353
thompson@gamma-poisson,1,30.0,1,4.0112994611263275e-05,1.3681339684656504,0.29799151752978575,0.038736330887397814
thompson@gamma-poisson,1,60.0,2,7.006400846876204e-05,1.2806332543473946,0.2957379392567754,0.038736330887397814
thompson@gamma-poisson,1,120.0,3,9.949400555342436e-05,1.2785161575571105,0.29414338462860334,0.038736330887397814
thompson@gamma-poisson,1,180.0,5,0.00015043499297462404,1.1717145197826075,0.10460784475825825,0.04813904470120353
thompson@gamma-poisson,1,240.0,6,0.0001768039946909994,1.0956847846137523,0.11259382529296778,0.04813904470120353
epig@gamma-poisson,1,30.0,30,0.4019909439375624,1.2212900617305273,0.30604616581290633,0.011172001678627922
epig@gamma-poisson,1,60.0,60,0.6903246589354239,1.1677742022725806,0.26014893809981327,0.011172001678627922
epig@gamma-poisson,1,120.0,120,1.2777457618212793,1.1074614169148478,0.16429304335704964,0.011172001678627922
epig@gamma-poisson,1,180.0,180,1.8533459498430602,1.1281032170989496,0.18883582623984888,0.011172001678627922
epig@gamma-poisson,1,240.0,240,2.424523760942975,1.1051537221942034,0.15343129947143697,0.011172001678627922
eig@lognormal-poisson,1,30.0,30,3.235468908911571,1.2367038162408441,0.3068279728959302,0.011172001678627922
eig@lognormal-poisson,1,60.0,60,3.5548646920069586,1.2044879869710308,0.26897065293340233,0.011172001678627922
eig@lognormal-poisson,1,120.0,120,4.163048945920309,1.1233467757733533,0.19146145786836463,0.011172001678627922
eig@lognormal-poisson,1,180.0,180,4.799406674894271,1.1149001139814245,0.17644958092512164,0.011172001678627922
eig@lognormal-poisson,1,240.0,240,5.555936276941793,1.0937269340751428,0.12204560597279811,0.011172001678627922
maxent@lognormal-poisson,1,30.0,30,2.9991128749970812,1.2763834765130728,0.33677758830003,0.038736330887397814
maxent@lognormal-poisson,1,60.0,60,3.1223839220765512,1.2814039201482914,0.3387332960840496,0.038736330887397814
maxent@lognormal-poisson,1,120.0,120,3.3684741430333816,1.2762478963356954,0.3368812901434139,0.038736330887397814
maxent@lognormal-poisson,1,180.0,180,3.6193672141816933,1.2758482350468046,0.33683481276813815,0.038736330887397814
maxent@lognormal-poisson,1,240.0,240,3.9049379311909433,1.275861734865806,0.3368449309991135,0.038736330887397814
d-optimality@lognormal-poisson,1,30.0,30,0.0037608330021612346,1.2340238089216344,0.3246450692446061,0.011172001678627922
d-optimality@lognormal-poisson,1,60.0,60,0.006459967931732535,1.200991560028655,0.27473037214170015,0.011172001678627922
d-optimality@lognormal-poisson,1,120.0,120,0.011836865945952013,1.1181388761047122,0.1816000713459539,0.011172001678627922
d-optimality@lognormal-poisson,1,180.0,180,0.017136378883151338,1.1263101487310918,0.19198578855697768,0.011172001678627922
d-optimality@lognormal-poisson,1,240.0,240,0.022491912823170424,1.1050021830419705,0.149801504740027,0.011172001678627922
neyman@lognormal-poisson,1,30.0,30,0.002992509922478348,1.257575091978704,0.33110891622696637,0.011172001678627922
neyman@lognormal-poisson,1,60.0,60,0.005983325041597709,1.2023562497499816,0.2778089700704652,0.011172001678627922
neyman@lognormal-poisson,1,120.0,120,0.012050897144945338,1.1372501757573679,0.1766013814471429,0.011172001678627922
neyman@lognormal-poisson,1,180.0,180,0.018166013120207936,1.1241517700894388,0.18813372024930486,0.011172001678627922
neyman@lognormal-poisson,1,240.0,240,0.024212864023866132,1.0826311851579589,0.10361926188414883,0.011172001678627922
predictive-variance@lognormal-poisson,1,30.0,1,0.0008759630145505071,1.2557293002549181,0.30638630738917844,0.038736330887397814
predictive-variance@lognormal-poisson,1,60.0,2,0.0009670860017649829,1.221652498857804,0.23234075606065227,0.038736330887397814
predictive-variance@lognormal-poisson,1,120.0,3,0.0010577200155239552,1.1714178599900613,0.23752489492337442,0.038736330887397814
predictive-variance@lognormal-poisson,1,180.0,5,0.0012468900240492076,1.0970116488263628,0.11851695878130071,0.04813904470120353
predictive-variance@lognormal-poisson,1,240.0,6,0.0013387430226430297,1.09085374251494,0.11845526918272782,0.04813904470120353
epistemic@lognormal-poisson,1,30.0,1,0.0008431219903286546,1.2557293002549181,0.30638630738917844,0.038736330887397814
epistemic@lognormal-poisson,1,60.0,2,0.0009316520008724183,1.221652498857804,0.23234075606065227,0.038736330887397814
epistemic@lognormal-poisson,1,120.0,3,0.0010203529964201152,1.1714178599900613,0.23752489492337442,0.038736330887397814
epistemic@lognormal-poisson,1,180.0,5,0.0011963630095124245,1.0970116488263628,0.11851695878130071,0.04813904470120353
epistemic@lognormal-poisson,1,240.0,6,0.0012908510107081383,1.09085374251494,0.11845526918272782,0.04813904470120353
thompson@lognormal-poisson,1,30.0,1,0.00036866299342364073,1.2685090142698867,0.23574606684640212,0.038736330887397814
thompson@lognormal-poisson,1,60.0,2,0.0007014879956841469,1.221652498857804,0.23234075606065227,0.038736330887397814
thompson@lognormal-poisson,1,120.0,3,0.0010403059714008123,1.2198884583864777,0.23079323365172214,0.038736330887397814
thompson@lognormal-poisson,1,180.0,5,0.0018386679876130074,1.2195009347117423,0.23142707744766008,0.038736330887397814
thompson@lognormal-poisson,1,240.0,6,0.0021633860014844686,1.1628299090444119,0.13352464796014224,0.011172001678627922
eig,2,30.0,30,0.447311961062951,1.236776207004944,0.1347688745290636,0.0
eig,2,60.0,60,0.7085834860918112,1.2595947150274753,0.28973455293884975,0.0
eig,2,120.0,120,1.1836613241466694,1.2205424454635796,0.2316791084036187,0.06632239671445869
eig,2,180.0,180,1.629780444316566,1.1872809749083297,0.15194501905065638,0.04011968012814091
eig,2,240.0,240,2.077206816233229,1.133927877744018,0.11156372683079155,0.04011968012814091
epig,2,30.0,30,3.234402178990422,1.2483763366512937,0.14678947096108366,0.0845696186180456
epig,2,60.0,60,5.450858138006879,1.252359587186527,0.28557728834759594,0.0
epig,2,120.0,120,9.95639925924479,1.230466239064836,0.23672567693104068,0.06632239671445869
epig,2,180.0,180,14.334056795109063,1.197130845179834,0.16291302277622427,0.06632239671445869
epig,2,240.0,240,18.632075498084305,1.1319753414568454,0.10465595525499692,0.04011968012814091
maxent,2,30.0,30,0.30415424302918836,1.5159438184358123,0.5171856952840916,0.3927688954437208
