policy,env,spent,rounds,decide_seconds,nlpd,flux_dex,topm_regret
epig,2,60.0,120,18.037697657127865,3.833935846436288,0.2042824159156302,0.0008132316696833684
epig,2,90.0,180,24.08405000914354,3.6293844248866622,0.1745991738163904,0.0008132316696833684
epig,2,120.0,240,29.582318226253847,3.444793534584018,0.13027834671822663,0.0008132316696833684
maxent,2,15.0,30,1.4348438140295912,4.130193410937835,0.3793422901732223,0.008953439787214055
maxent,2,30.0,60,1.6698240790283307,4.108078411861258,0.3791947835419635,0.008953439787214055
maxent,2,60.0,120,2.1312776850827504,4.105797866311799,0.37919246142211455,0.008953439787214055
maxent,2,90.0,180,2.588722704182146,4.105708862001834,0.37919232015761883,0.008953439787214055
maxent,2,120.0,240,3.0423036032298114,4.105764360248931,0.37919211094231653,0.008953439787214055
d-optimality,2,15.0,30,0.03788846902898513,4.096150678680568,0.25661710094416423,0.08302480647329086
d-optimality,2,30.0,60,0.05179622198920697,3.9728858154975284,0.24106998747253508,0.008953439787214055
d-optimality,2,60.0,120,0.07824434997746721,3.84107963091288,0.2045821223891856,0.0008132316696833684
d-optimality,2,90.0,180,0.10632783200708218,3.622524102836979,0.1596619717260791,0.0008132316696833684
d-optimality,2,120.0,240,0.13993226704769768,3.441772708859267,0.12841459445740197,0.0008132316696833684
neyman,2,15.0,30,0.11834540404379368,4.080189073770839,0.28983742452071826,0.008953439787214055
neyman,2,30.0,60,0.22093929201946594,3.9793508977071927,0.25121669754215786,0.008953439787214055
neyman,2,60.0,120,0.43454211318749003,3.861604029276132,0.22159029835411664,0.0008132316696833684
neyman,2,90.0,180,0.6739457511284854,3.660936772425387,0.1855714010277386,0.0008132316696833684
neyman,2,120.0,240,0.9207581782247871,3.5586801809119883,0.16849449695611432,0.0008132316696833684
predictive-variance,2,15.0,1,0.024865471001248807,4.25562427183091,0.38534519475740486,0.08302480647329086
predictive-variance,2,30.0,2,0.025742139026988298,4.203249976279326,0.38295145413569387,0.08302480647329086
predictive-variance,2,60.0,3,0.02661847503622994,4.187906465849204,0.38302131137341255,0.08302480647329086
predictive-variance,2,90.0,4,0.027497134055010974,4.155171094382622,0.382624035460049,0.08302480647329086
predictive-variance,2,120.0,44,0.045995833032066,3.8604523959172403,0.24440247540519155,0.008953439787214055
epistemic,2,15.0,1,0.024617135000880808,4.25562427183091,0.38534519475740486,0.08302480647329086
epistemic,2,30.0,2,0.02548504897276871,4.203249976279326,0.38295145413569387,0.08302480647329086
epistemic,2,60.0,3,0.026350323983933777,4.187906465849204,0.38302131137341255,0.08302480647329086
epistemic,2,90.0,4,0.027231813990511,4.155171094382622,0.382624035460049,0.08302480647329086
epistemic,2,120.0,44,0.04542403802042827,3.8604523959172403,0.24440247540519155,0.008953439787214055
thompson,2,15.0,1,0.013096746988594532,4.25651803288575,0.38632312539974795,0.08302480647329086
thompson,2,30.0,2,0.026685374963562936,4.236788645771306,0.38538420179546773,0.08302480647329086
thompson,2,60.0,3,0.04025709297275171,4.2073450351893165,0.3852779704140888,0.07488459835576018
thompson,2,90.0,4,0.05399850296089426,4.207276413906075,0.385277916333234,0.07488459835576018
thompson,2,120.0,44,0.6162079780478962,4.002059601929964,0.31840870718267594,0.0008132316696833684
