policy,env,source,flux_true,time_allocated
thompson,0,15,4.38114,0.5
thompson,0,16,1.44986,0.5
thompson,0,17,1.81945,0.0
thompson,0,18,15.3468,0.5
thompson,0,19,3.14188,0.5
thompson,0,20,28.5706,25.0
thompson,0,21,3.60401,0.5
thompson,0,22,3.39364,0.5
thompson,0,23,1.33143,0.0
thompson,0,24,1.5639500000000002,0.0
thompson,0,25,5.339799999999999,0.5
thompson,0,26,6.225099999999999,0.0
thompson,0,27,1.6318,0.0
thompson,0,28,4.40425,0.0
thompson,0,29,2.18386,0.0
thompson,0,30,26.5834,2.5
thompson,0,31,2.79027,0.0
thompson,0,32,1.65696,0.0
thompson,0,33,2.95279,0.0
thompson,0,34,2.9660699999999998,0.0
thompson,0,35,11.677,0.5
thompson,0,36,12.8104,0.5
thompson,0,37,2.05518,0.5
thompson,0,38,1.9180400000000002,0.0
thompson,0,39,10.5449,0.5
thompson,0,40,8.630279999999999,0.5
thompson,0,41,6.4809,0.5
thompson,0,42,10.3273,0.0
thompson,0,43,1.31786,0.0
thompson,0,44,2.96704,0.0
thompson,0,45,19.5623,0.5
thompson,0,46,2.13791,0.5
thompson,0,47,20.8898,0.0
uniform,0,0,24.0244,5.0
uniform,0,1,3.12204,5.0
uniform,0,2,17.2236,5.0
uniform,0,3,1.2693200000000002,5.0
uniform,0,4,6.87258,5.0
uniform,0,5,31.879,5.0
uniform,0,6,30.619500000000002,5.0
uniform,0,7,10.731900000000001,5.0
uniform,0,8,1.65587,5.0
uniform,0,9,3.32141,5.0
uniform,0,10,4.1920399999999995,5.0
uniform,0,11,1.16333,5.0
uniform,0,12,1.52467,5.0
uniform,0,13,2.15881,5.0
uniform,0,14,5.45463,5.0
uniform,0,15,4.38114,5.0
uniform,0,16,1.44986,5.0
uniform,0,17,1.81945,5.0
uniform,0,18,15.3468,5.0
uniform,0,19,3.14188,5.0
uniform,0,20,28.5706,5.0
uniform,0,21,3.60401,5.0
uniform,0,22,3.39364,5.0
uniform,0,23,1.33143,5.0
uniform,0,24,1.5639500000000002,0.0
uniform,0,25,5.339799999999999,0.0
uniform,0,26,6.225099999999999,0.0
uniform,0,27,1.6318,0.0
uniform,0,28,4.40425,0.0
uniform,0,29,2.18386,0.0
uniform,0,30,26.5834,0.0
uniform,0,31,2.79027,0.0
uniform,0,32,1.65696,0.0
uniform,0,33,2.95279,0.0
uniform,0,34,2.9660699999999998,0.0
uniform,0,35,11.677,0.0
uniform,0,36,12.8104,0.0
uniform,0,37,2.05518,0.0
uniform,0,38,1.9180400000000002,0.0
uniform,0,39,10.5449,0.0
uniform,0,40,8.630279999999999,0.0
uniform,0,41,6.4809,0.0
uniform,0,42,10.3273,0.0
uniform,0,43,1.31786,0.0
uniform,0,44,2.96704,0.0
uniform,0,45,19.5623,0.0
uniform,0,46,2.13791,0.0
uniform,0,47,20.8898,0.0
random,0,0,24.0244,0.0
random,0,1,3.12204,0.0
random,0,2,17.2236,5.0
random,0,3,1.2693200000000002,0.0
random,0,4,6.87258,0.0
random,0,5,31.879,0.0
random,0,6,30.619500000000002,1.0
random,0,7,10.731900000000001,0.0
random,0,8,1.65587,1.0
random,0,9,3.32141,0.0
random,0,10,4.1920399999999995,0.0
random,0,11,1.16333,0.5
random,0,12,1.52467,5.0
random,0,13,2.15881,0.0
random,0,14,5.45463,0.0
random,0,15,4.38114,0.0
random,0,16,1.44986,0.0
random,0,17,1.81945,0.0
random,0,18,15.3468,0.0
random,0,19,3.14188,10.0
random,0,20,28.5706,0.0
random,0,21,3.60401,30.0
random,0,22,3.39364,0.0
random,0,23,1.33143,0.0
random,0,24,1.5639500000000002,0.0
random,0,25,5.339799999999999,25.0
random,0,26,6.225099999999999,0.0
random,0,27,1.6318,25.0
random,0,28,4.40425,0.0
random,0,29,2.18386,0.0
random,0,30,26.5834,0.0
random,0,31,2.79027,0.0
random,0,32,1.65696,10.0
random,0,33,2.95279,0.0
random,0,34,2.9660699999999998,0.0
random,0,35,11.677,0.0
random,0,36,12.8104,0.0
random,0,37,2.05518,5.0
random,0,38,1.9180400000000002,0.0
random,0,39,10.5449,0.0
random,0,40,8.630279999999999,2.5
random,0,41,6.4809,0.0
random,0,42,10.3273,0.0
random,0,43,1.31786,0.0
random,0,44,2.96704,0.0
random,0,45,19.5623,0.0
random,0,46,2.13791,0.0
random,0,47,20.8898,0.0
eig@gamma-poisson,0,0,24.0244,3.0
eig@gamma-poisson,0,1,3.12204,2.5
eig@gamma-poisson,0,2,17.2236,2.5
eig@gamma-poisson,0,3,1.2693200000000002,2.0
eig@gamma-poisson,0,4,6.87258,2.5
eig@gamma-poisson,0,5,31.879,3.0
eig@gamma-poisson,0,6,30.619500000000002,3.0
eig@gamma-poisson,0,7,10.731900000000001,2.5
eig@gamma-poisson,0,8,1.65587,2.0
eig@gamma-poisson,0,9,3.32141,2.5
eig@gamma-poisson,0,10,4.1920399999999995,2.5
eig@gamma-poisson,0,11,1.16333,2.5
eig@gamma-poisson,0,12,1.52467,2.5
eig@gamma-poisson,0,13,2.15881,2.0
eig@gamma-poisson,0,14,5.45463,2.5
eig@gamma-poisson,0,15,4.38114,2.5
eig@gamma-poisson,0,16,1.44986,2.5
eig@gamma-poisson,0,17,1.81945,2.5
eig@gamma-poisson,0,18,15.3468,2.0
eig@gamma-poisson,0,19,3.14188,2.5
eig@gamma-poisson,0,20,28.5706,3.0
eig@gamma-poisson,0,21,3.60401,2.5
eig@gamma-poisson,0,22,3.39364,2.5
eig@gamma-poisson,0,23,1.33143,2.0
eig@gamma-poisson,0,24,1.5639500000000002,2.5
eig@gamma-poisson,0,25,5.339799999999999,2.5
eig@gamma-poisson,0,26,6.225099999999999,3.0
eig@gamma-poisson,0,27,1.6318,2.5
eig@gamma-poisson,0,28,4.40425,2.0
eig@gamma-poisson,0,29,2.18386,2.5
eig@gamma-poisson,0,30,26.5834,3.0
eig@gamma-poisson,0,31,2.79027,2.5
eig@gamma-poisson,0,32,1.65696,2.5
eig@gamma-poisson,0,33,2.95279,2.0
eig@gamma-poisson,0,34,2.9660699999999998,2.5
eig@gamma-poisson,0,35,11.677,3.0
eig@gamma-poisson,0,36,12.8104,3.0
eig@gamma-poisson,0,37,2.05518,2.5
eig@gamma-poisson,0,38,1.9180400000000002,2.0
eig@gamma-poisson,0,39,10.5449,2.5
eig@gamma-poisson,0,40,8.630279999999999,2.5
eig@gamma-poisson,0,41,6.4809,2.5
eig@gamma-poisson,0,42,10.3273,2.5
eig@gamma-poisson,0,43,1.31786,2.0
eig@gamma-poisson,0,44,2.96704,2.5
eig@gamma-poisson,0,45,19.5623,3.0
eig@gamma-poisson,0,46,2.13791,2.5
eig@gamma-poisson,0,47,20.8898,2.5
eig@lognormal-poisson,0,0,24.0244,3.0
eig@lognormal-poisson,0,1,3.12204,2.5
eig@lognormal-poisson,0,2,17.2236,3.0
eig@lognormal-poisson,0,3,1.2693200000000002,1.0
eig@lognormal-poisson,0,4,6.87258,3.0
eig@lognormal-poisson,0,5,31.879,3.0
eig@lognormal-poisson,0,6,30.619500000000002,3.0
eig@lognormal-poisson,0,7,10.731900000000001,3.0
eig@lognormal-poisson,0,8,1.65587,1.0
eig@lognormal-poisson,0,9,3.32141,2.0
eig@lognormal-poisson,0,10,4.1920399999999995,2.5
eig@lognormal-poisson,0,11,1.16333,2.0
eig@lognormal-poisson,0,12,1.52467,2.5
eig@lognormal-poisson,0,13,2.15881,2.0
eig@lognormal-poisson,0,14,5.45463,3.0
eig@lognormal-poisson,0,15,4.38114,2.0
eig@lognormal-poisson,0,16,1.44986,2.5
eig@lognormal-poisson,0,17,1.81945,2.5
eig@lognormal-poisson,0,18,15.3468,3.0
eig@lognormal-poisson,0,19,3.14188,2.5
eig@lognormal-poisson,0,20,28.5706,3.0
eig@lognormal-poisson,0,21,3.60401,2.5
eig@lognormal-poisson,0,22,3.39364,3.0
eig@lognormal-poisson,0,23,1.33143,2.0
eig@lognormal-poisson,0,24,1.5639500000000002,2.0
eig@lognormal-poisson,0,25,5.339799999999999,2.5
eig@lognormal-poisson,0,26,6.225099999999999,3.0
eig@lognormal-poisson,0,27,1.6318,2.0
eig@lognormal-poisson,0,28,4.40425,2.5
eig@lognormal-poisson,0,29,2.18386,2.0
eig@lognormal-poisson,0,30,26.5834,3.0
eig@lognormal-poisson,0,31,2.79027,2.5
eig@lognormal-poisson,0,32,1.65696,2.5
eig@lognormal-poisson,0,33,2.95279,2.0
eig@lognormal-poisson,0,34,2.9660699999999998,2.5
eig@lognormal-poisson,0,35,11.677,3.0
eig@lognormal-poisson,0,36,12.8104,3.0
eig@lognormal-poisson,0,37,2.05518,2.5
eig@lognormal-poisson,0,38,1.9180400000000002,1.0
eig@lognormal-poisson,0,39,10.5449,3.0
eig@lognormal-poisson,0,40,8.630279999999999,3.0
eig@lognormal-poisson,0,41,6.4809,3.0
eig@lognormal-poisson,0,42,10.3273,3.0
eig@lognormal-poisson,0,43,1.31786,1.5
eig@lognormal-poisson,0,44,2.96704,2.5
eig@lognormal-poisson,0,45,19.5623,3.0
eig@lognormal-poisson,0,46,2.13791,2.5
eig@lognormal-poisson,0,47,20.8898,3.0
eig,1,0,28.5706,3.0
eig,1,1,1.5359900000000002,1.5
eig,1,2,3.40753,1.0
eig,1,3,4.30819,1.0
eig,1,4,44.307100000000005,3.0
eig,1,5,5.339799999999999,3.0
eig,1,6,22.3683,3.0
eig,1,7,7.147,3.0
eig,1,8,1.37528,1.5
eig,1,9,14.8422,3.0
eig,1,10,10.6847,3.0
eig,1,11,3.65477,3.0
eig,1,12,5.16789,2.5
eig,1,13,1.7768700000000002,1.0
eig,1,14,12.0998,3.0
eig,1,15,15.6086,3.0
eig,1,16,1.5671899999999999,1.5
eig,1,17,1.53788,2.0
eig,1,18,3.00805,2.5
eig,1,19,5.931369999999999,3.0
eig,1,20,11.165899999999999,3.0
eig,1,21,17.052,3.0
eig,1,22,11.5075,3.0
eig,1,23,3.1340500000000002,2.0
eig,1,24,2.26457,2.5
eig,1,25,4.38114,3.0
eig,1,26,1.14199,2.0
eig,1,27,25.5427,3.0
eig,1,28,28.836699999999997,3.0
eig,1,29,31.8852,3.0
eig,1,30,7.48797,3.0
eig,1,31,2.59399,3.0
eig,1,32,7.34185,2.5
eig,1,33,2.8333999999999997,2.0
eig,1,34,9.15437,3.0
eig,1,35,3.58615,3.0
eig,1,36,9.168339999999999,3.0
eig,1,37,1.2640799999999999,2.0
eig,1,38,2.52084,2.0
eig,1,39,7.75063,3.0
eig,1,40,10.2089,3.0
eig,1,41,1.7323199999999999,2.5
eig,1,42,1.69916,1.0
eig,1,43,2.62308,2.0
eig,1,44,2.35986,2.0
eig,1,45,40.3706,3.0
eig,1,46,2.8673200000000003,2.0
eig,1,47,6.76722,3.0
epig,1,0,28.5706,3.0
epig,1,1,1.5359900000000002,1.5
epig,1,2,3.40753,1.0
epig,1,3,4.30819,1.0
epig,1,4,44.307100000000005,3.0
epig,1,5,5.339799999999999,3.0
epig,1,6,22.3683,3.0
epig,1,7,7.147,3.0
epig,1,8,1.37528,1.5
epig,1,9,14.8422,3.0
epig,1,10,10.6847,3.0
epig,1,11,3.65477,3.0
epig,1,12,5.16789,2.5
epig,1,13,1.7768700000000002,1.0
epig,1,14,12.0998,3.0
epig,1,15,15.6086,3.0
epig,1,16,1.5671899999999999,1.5
epig,1,17,1.53788,2.0
epig,1,18,3.00805,2.5
epig,1,19,5.931369999999999,3.0
epig,1,20,11.165899999999999,3.0
epig,1,21,17.052,3.0
epig,1,22,11.5075,3.0
epig,1,23,3.1340500000000002,2.0
epig,1,24,2.26457,2.5
epig,1,25,4.38114,3.0
epig,1,26,1.14199,2.0
epig,1,27,25.5427,3.0
epig,1,28,28.836699999999997,3.0
epig,1,29,31.8852,3.0
epig,1,30,7.48797,3.0
epig,1,31,2.59399,3.0
epig,1,32,7.34185,2.5
epig,1,33,2.8333999999999997,2.0
epig,1,34,9.15437,3.0
epig,1,35,3.58615,3.0
epig,1,36,9.168339999999999,3.0
epig,1,37,1.2640799999999999,2.0
epig,1,38,2.52084,2.0
epig,1,39,7.75063,3.0
epig,1,40,10.2089,3.0
epig,1,41,1.7323199999999999,2.5
epig,1,42,1.69916,1.0
epig,1,43,2.62308,2.0
epig,1,44,2.35986,2.0
epig,1,45,40.3706,3.0
epig,1,46,2.8673200000000003,2.0
epig,1,47,6.76722,3.0
maxent,1,0,28.5706,3.5
maxent,1,1,1.5359900000000002,0.0
maxent,1,2,3.40753,0.0
maxent,1,3,4.30819,0.0
maxent,1,4,44.307100000000005,0.0
maxent,1,5,5.339799999999999,0.5
maxent,1,6,22.3683,0.0
